msg,timestamp,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_multiple,roi_pct,price_ref,risk_note,rationale,indicators_mentioned,market_context,quote,confidence,link
194,2026-05-23 08:33:37,call,BEATUSDT,short,1.286,,1.08,1.39,,,2.0,,,Short BEAT (risky) ... Risk setup,"risky short but the target is worth almost 2R (r_multiple here is the planned R of the target, not a realised result)",,,"Short BEAT (risky)

Entry: 1.286 CMP 

TP: 1.08

SL: 1.39

Risk setup but almost 2R TP, double TP, worth a shot!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507617478283628544
195,2026-05-23 09:21:38,partial_close,BEATUSDT,short,1.2875,,,,60,100,1.5,921.08,1.169,,books 60% of the BEAT short at 1.5R specifically to recover one previous stop-loss,,,"Up 1.5R, took 60% to recover 1SL",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507629563000258671
196,2026-05-23 09:28:32,sl_move,BEATUSDT,short,,,,1.27,,,,,,,moves the stop into profit at 1.27 on the remaining BEAT short (below the 1.286 short entry); symbol inferred from the immediately preceding BEAT messages,,,Just move SL in profits @ 1.27,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507631301753045062
197,2026-05-23 10:35:06,call,JCTUSDT,short,0.004,,0.00369,0.00426,,,,,,Half risk trade,new JCT short at market taken on half the usual risk,,,"Short JCT

Entry: 0.004 CMP 

TP: 0.00369

SL: 0.00426

Half risk trade",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507648051228180510
198,2026-05-23 10:35:23,plan,BTCUSDT,long,74000,,,,,,,,,,waiting for BTC at 74k to go long and make back the BTC stop-loss,,,"Waiting for 74k for long, we will make our BTC SL back!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507648122581680128
199,2026-05-23 10:35:58,view,BTCUSDT,,,,,,,,,,,,expects BTC to trade down into 72-74k first and then rally to the high 80s,,,**I see 72-74k then high 80s**,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507648270132838521
200,2026-05-23 10:39:06,plan,BTCUSDT,long,,,,,,,,,74000,No longs before 74k,rule for the group: no long entries until BTC reaches 74k,,,No longs before 74k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507649058225913898
201,2026-05-23 10:40:27,view,ATOMUSDT,short,,,,,,,,,,,tempted to short ATOM as well but holds off because BTC is approaching its bounce zone,,BTC approaching bounce zone,Kinda wanna short ATOM too but BTC approaching bounce zone,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507649400069951499
202,2026-05-23 10:45:52,call,HYPEUSDT,long,54.8,,56.4,53.9,,,,,,Manual close so small margin!,"new HYPE long at market; stop is a 4h close under 53.9 which has to be managed manually, so size small",4h close,,"Long HYPE

Entry: 54.8 CMP 

TP: 56.4

SL: 4h close under 53.9

Manual close so small margin!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507650763307094026
203,2026-05-23 10:46:50,update,HYPEUSDT,long,,,,,,,,,54.8,,clarifies that the 54.8 entry on the HYPE call is current market price,,,54.8 is CMP ^,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507651004567650516
204,2026-05-23 10:52:47,partial_close,JCTUSDT,short,0.004,,,,10,50,0.5,160.87,0.00387,take 10-20% MAX!,"JCT dumped nearly 0.5R so he takes only 10% off and secures his shorts generally, because BTC may bounce from here",,BTC may bounce,"JCT dumped nearly 0.5 R, taking 10% only, SL to entry.

BTC may bounce so securinh my shorts, take 10-20% MAX!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507652503599059055
204,2026-05-23 10:52:47,sl_move,JCTUSDT,short,0.004,,,0.004,,50,,,,,"stop moved to entry (0.004, the call entry and the share-card entry) after the 10% partial",,,"taking 10% only, SL to entry.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507652503599059055
205,2026-05-23 10:54:34,chat,ATOMUSDT,,,,,,,,,,,,regrets not taking the ATOM short he had mentioned 14 minutes earlier; no position was opened,,,Should have shorted,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507652952238592060
206,2026-05-23 10:57:00,update,HYPEUSDT,long,54.991,,,,,100,0.5,93.83,55.507,,HYPE already 0.5R in profit shortly after the call,,,And HYPE 0.5 R up,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507653565022212139
207,2026-05-23 10:57:21,entry,HYPEUSDT,long,,,,,,,,,,,"notes his own HYPE fill came after he posted the call (54.991 on his card versus the 54.8 posted), so followers likely have a better entry; symbol from the surrounding HYPE messages",,,"I entered late after posting, you probably have better entry!",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507653652318519346
208,2026-05-23 11:13:43,call,SUIUSDT,long,1,,"1.05, 1.11",0.95,,,,,,Half risk,new SUI long on half risk: BTC is weak but he expects a relief bounce,,BTC is weak but expecting relief,"Long SUI

Entry: 1

TPs: 1.05-1.11

SL: 0.95

Half risk BTC is weak but expecting releif",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507657771883958352
209,2026-05-23 11:50:21,close,HYPEUSDT,long,,,,,100,100,1.2,204.57,,,fully out of HYPE at 1.2R,,,"HYPE up 1.2R, I'm out here",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507666989454200832
209,2026-05-23 11:50:21,tp_set,HYPEUSDT,long,,,58,,,,,,,,gives 58 as the next target for anyone who stays in HYPE after he exits,,,but 58 next TP for those holding,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507666989454200832
210,2026-05-23 11:51:29,recap,,,,,,,,,,,,,"day recap: BEAT netted 1R and HYPE 1.2R, which recovered the previous day's AVAX and XPL losses; the BTC stop is still to be made back and he expects to do it with the open SUI long",,,"BEAT moved 2R then hit BE, we took 1R out of it

HYPE 1.2 R

Recovered yesterday's AVAX+XPL loss, BTC we do it soon with SUI",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507667274885103696
210,2026-05-23 11:51:29,stopped_out,AVAXUSDT,long,,,,,,,,,,,retroactive confirmation that the AVAX long from msg 188 was a loser on the overnight crash; no exit price or R given,,,Recovered yesterday's AVAX+XPL loss,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507667274885103696
210,2026-05-23 11:51:29,breakeven,BEATUSDT,short,,,,,100,,1.0,,,,BEAT ran 2R then came back and closed at breakeven; because he had banked 60% at 1.5R the trade still netted about 1R,,,"BEAT moved 2R then hit BE, we took 1R out of it",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507667274885103696
210,2026-05-23 11:51:29,stopped_out,XPLUSDT,long,,,,,,,,,,,retroactive confirmation that the XPL long from msg 185 was a loser on the overnight crash; no exit price or R given,,,Recovered yesterday's AVAX+XPL loss,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507667274885103696
211,2026-05-23 11:59:29,tp_move,JCTUSDT,short,,,0.00375,0.004,,,1.0,,,,BE didn't hit so he is still in JCT; moves the target to 0.00375 (1R). Adds that the setup is no longer valid to enter because the SL now sits at entry (0.004).,,,"Still in JCT BE didn't hit, moving TP to 0.00375 (1R) and no it's not valid since SL is @ 0.004",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507669287152783431
212,2026-05-23 16:15:56,update,SUIUSDT,long,1.0014,,,,,100,1.0,150.91,1.0165,,Share card of the open SUI long showing it approaching 1R (ROI% is not R for him).,,,1R soon!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507733827601301525
213,2026-05-23 16:36:55,education,,,,,,,,,,,,I risk 1-2% on ALTs and 3-5% on BTC trades,"Explains R in the simplest way (1R = profit equal to the stop-loss distance, ROI% irrelevant), using the closed BEAT short (ran 2R, TP taken at 1.7R) and the live SUI long (entry 1, SL 0.95) as examples, and states his risk per trade.",,,"For those who don't know what is R, I tried explaining in the simplest way! Also guys, I risk 1-2% on ALTs and 3-5% on BTC trades",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507739108884348969
214,2026-05-23 16:38:14,education,,,,,,,,,,,,1-2% ALTs 3% BTC,Tells followers to size every trade with a position-size calculator - promises they end monthly profitable and never get liquidated if they do.,,,"Also guys I take my trade using risk calculators such as https://infinityalgo.com/tools/calculators/position-size-calculator Learn to use risk calculator and I PROMISE YOU, YOU'LL END MONTHLY PROFITABLE WITH ME AND NEVER EVER GET LIQUIDATED. 1-2% ALTs 3% BTC",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507739436178341980
215,2026-05-23 16:39:04,chat,,,,,,,,,,,,,Disclaims any promotion of the linked calculator - any risk calculator from the play store or web works.,,,Not promoting anything here there are many risk calculators on play store or website you can use whatever you want,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507739649614024926
216,2026-05-23 16:41:42,education,,,,,,,,,,,,,"Step-by-step of the position-size calculator (wallet, risk %, entry and SL -> position size, then enter that size manually on the exchange), demonstrated with his SUI trade: 1% risk, entry 1, SL 0.95.",,,"How to use it? Step1: Write your wallet Step2: Write your risk % Step3: Write your Entry SL Step4: It gives you a position size, how much coins or margin to long Step5: Go to your exchange manually write down the coins or margin",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507740311013818418
217,2026-05-23 16:42:48,education,,,,,,,,,,,,,Shows where to enter the calculated size on the exchange - set the order 'by amount'; he demonstrates on Blofin but says every exchange has the same setting.,,,Go to your exchanges and set by amount I'm doing this on blofin but every exchange has it the same.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507740588563370145
218,2026-05-23 16:43:34,education,,,,,,,,,,,,"you don't have to worry how much leverage to use, you can use even 500x as long as you're writing down the same amount","Point of the educational series: if the position size is fixed by the calculator, the leverage used is irrelevant to risk.",,,"A bit if educational posts, simplest way to risk management it can't get any easier. If you use this way you don't have to worry how much leverage to use, you can use even 500x as long as you're writing down the same amount!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507740779462787102
219,2026-05-23 16:44:20,chat,,,,,,,,,,,,,Wants the risk-management posts pinned by John so new members can always find them.,,,I'll ask John if he can pin these so new or those who missed can always check how to easily manage risk!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507740971306193050
220,2026-05-23 16:48:09,update,SUIUSDT,long,1.0,,"1.05, 1.11",0.95,,,,,,Half risk BTC is weak but expecting releif,Re-surfaces the SUI long call as his only running trade for anyone who missed it; levels come from the quoted original call.,,BTC is weak but he expects relief,Only running trade in case you missed ^,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507741935241003188
221,2026-05-23 16:54:27,plan,BTCUSDT,,,,,,,,,,,don't follow it on main account I'll try to risk 10-20% which isn't healthy for your main wallet,Found an 89.36 USDT account and will run a for-fun BTC-scalps-only 2x challenge on it because many asked for a funded/2x challenge; explicitly not to be copied on main accounts.,,,"I found this today in some account, for fun I'll do BTC scalp trades only on this and let's see if we can double it by BTC scalps only, alot of you have requested a 2x or funded challenge. Nothing serious just for fun, don't follow it on main account I'll try to risk 10-20% which isn't healthy for your main wallet. BTC trades only and we will try for 2x",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507743520738381854
222,2026-05-23 17:16:47,entry,BTCUSDT,long,75166.5,,,72200.0,,20,,-0.19,75159.2,,"First scalp of the 89 USDT challenge account: BTC long 0.0090 BTC at 75,166.5 with stop 72,200 and no TP set.",,,First scalp trade.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507749138832298015
223,2026-05-23 17:21:34,dca,BTCUSDT,long,,74300.0,,,,,,,,,Gives the planned DCA level for the BTC scalp long just posted (symbol inferred from the preceding message).,,,74.3k DCA,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507750343306510447
223,2026-05-23 17:21:34,sl_move,BTCUSDT,long,,,,72220.0,,,,,,,"States the stop for the BTC long as 72220 - a small adjustment from the 72,200 shown on the position screenshot in MSG 222.",,,72220 SL,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507750343306510447
224,2026-05-23 17:22:17,call,BTCUSDT,long,75100.0,74300.0,"76600.0, 78000.0",72200.0,,,,,,,"Formal BTC long call at CMP with a DCA at 74.3k, targets 76.6-78k and stop 72.2k.",,,Long BTC Entry: 75.1k CMP DCA: 74.3k Targeting 76.6-78k SL: 72.2k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507750522839633941
225,2026-05-23 17:22:55,chat,BTCUSDT,,,,,,,,,,,,"Clarifies the formal call is the same trade as the challenge-account scalp, written out for people taking it on main accounts.",,,Guys it's the same trade I just wrote together for the people taking it on their main accounts,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507750684152303796
226,2026-05-23 18:02:05,update,SUIUSDT,long,,,,,,,,,,"only take 25-40% and save majority for when I exit, I personally take no partials",SUI is almost at TP1 - take only a small partial and keep the majority until he exits; he takes no partials himself.,,,"SUI almost TP1, only take 25-40% and save majority for when I exit, I personally take no partials.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507760541643313204
227,2026-05-23 18:13:54,call,FILUSDT,long,0.955,,1.0,0.892,,,,,,,"Long FIL from either 0.946 or 0.955 (CMP), single target at the 1.00 round number, stop 0.892. entry_price records the CMP option, which is the fill he later shows.",,,Long FIL Entry: 0.946 or 0.955 CMP TP: 1 SL: 0.892,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507763514410930216
228,2026-05-23 18:17:54,update,BTCUSDT,long,,,76600.0,,20,,,,,don't take anything at 76.6k or take 20% minimum TP and wait for me,"Same partial-taking guidance as SUI applied to the BTC long - take nothing at the first target 76.6k or 20% at most, and wait for his exit.",,,"Same for BTC, don't take anything at 76.6k or take 20% minimum TP and wait for me",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507764519215304845
229,2026-05-23 19:10:04,update,HYPEUSDT,long,,,58.0,,,,2.5,,,if you're in trim some,HYPE is 2.5R up (he is already out); tells holders to trim some and keep 58 as the final target.,,,"HYPE 2.5 R, if you're in trim some and final TP is 58",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507777648045068289
230,2026-05-23 20:17:47,tp_hit,HYPEUSDT,long,,,58.0,,,,3.0,,,,"The 58 target hit: 3R for anyone who held with no partials, 2R for those who trimmed as he instructed; his own exit was at 1.1R. Chart shows the run 54.506 -> 58.102.",,,"HYPE TP hit, 3RR without partials, 2 RR with partials if you took it how I mentioned",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507794690198736996
230,2026-05-23 20:17:47,education,HYPEUSDT,,,,,,100,,1.1,,,,"Lesson from HYPE: taking 100% at the first TP costs you the runner - he exited at 1.1R and the move went 3R, yet he admits he almost always takes 100% at first TP.",,,"This is when taking 100% TP hurts, I exited at 1.1 R but anyhow I usually always take 100% on first TP",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507794690198736996
231,2026-05-23 20:48:00,tp_hit,SUIUSDT,long,,,,,,,,,,,"SUI reached its first target (1.05 in his call, though he names no number here) but he took nothing off; says he will take 25% only when it comes back.",,,"SUI TP hit but I took nothing, when it comes again I will take 25% only!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507802294350254130
232,2026-05-23 21:18:48,partial_close,SUIUSDT,long,1.0014,,,,,100,,524.3,1.0539,,Took a partial on SUI above 1.05 as he said he would (portion not stated; he had said 25%).,,,Alright boys took some here,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507810046959161707
233,2026-05-23 21:19:17,update,SUIUSDT,long,,,,,,,,,,,Close to fully closing SUI but keeps it because he expects a Sunday pump (symbol inferred from the previous message).,,expects a Sunday pump,I'm this close to completey closing it but I think we are in for a Sunday pump,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1507810164881752065
234,2026-05-23 23:42:34,tp_hit,FILUSDT,long,0.955,,1.0,,100,3,,14.13,,,"FIL reached the 1.000 target and the position was closed there (closed card: entry 0.955, close 1.000).",,,FIL TP,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507846224202694776
235,2026-05-23 23:42:51,update,BTCUSDT,long,75197.2,,,,,150,,340.42,76903.8,feel free to trim wherever you want,BTC long well in profit - he invites followers to take partials wherever they like while he keeps holding.,,,BTC feel free to trim wherever you want.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507846295732228228
236,2026-05-23 23:43:25,update,SUIUSDT,long,1.0014,,1.1,,,100,,788.77,1.0803,,SUI nearly at full TP; he still holds the majority and is targeting 1.1+.,,,"SUI nearly full TP, still holding majority, Target 1.1+",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507846441123709070
238,2026-05-23 23:50:00,view,,,,,,,,,,,,,Attributes the pump to the ceasefire-continuation announcement he had flagged to VIPs beforehand (his geopolitical read posted the previous evening).,news,Trump announced a ceasefire continuation at the Gulf states' request - the reason for the pump,"Mentioned this in the VIPs, expecting good news, trump just announced it, ceasefire continuation on the request of gulf stayed that's why we pumped",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507848097404027102
239,2026-05-23 23:57:10,update,BTCUSDT,long,75166.5,,,72220.0,,200,,507.03,77072.3,,The 89 USDT challenge account is up about 20% of its balance on the BTC scalp (+17.15 USDT on 3.79 USDT margin).,,,Making 20% of this,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507849900690247901
240,2026-05-24 00:01:23,update,BTCUSDT,long,75197.2,,,,,150,,429.13,77348.4,,"Holding the BTC long into the weekend, restating the bullish-until-24-25th call he made earlier.",,"bullish weekend, staying long until the 24-25th",Bullish weekend,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507850960737927168
241,2026-05-24 00:09:16,tp_hit,SUIUSDT,long,1.0006,,,,,250,2.0,2148.71,1.0909,,"SUI hit full TP for 2R, and because they barely took anything at TP1 almost the whole position captured it.",,,Sorry for the spam but SUI hit full TP 2R since we barely took anything at TP1,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507852944312373341
242,2026-05-24 00:09:23,close,SUIUSDT,long,1.0014,,,,100,100,,874.77,1.089,,"Closed-PnL card posted seconds after the full-TP message, confirming the complete SUI exit at 1.089.",,,[IMAGE 089 (no message text): SUIUSDT long 100x entry 1.0014 close 1.089 ROI 874.77% (closed)],high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507852972460216501
243,2026-05-24 00:12:10,recap,,,,,,,,,5.0,,,,"Day recap - reckons he gave about 5R: four cards re-shared, the still-open BTC long (+366.85%) plus closed BEAT short (1.2694 -> 1.1482), SUI long (1.0014 -> 1.089) and FIL long (0.955 -> 1.000); asks members to post their PnLs.",,,C'mon guys at least post PNLs #💲｜profit-showcase today I gave you like 5R today,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507853674855137532
244,2026-05-24 00:13:16,recap,,,,,,,,,8.0,,,,Corrects the day's total to 8R after counting the 3R HYPE trade (closed card +204.57% re-shared).,,,"Actually 8R, gave 3R on HYPE too",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507853951599644892
245,2026-05-24 00:49:01,chat,,,,,,,,,,,,,"Thanks the community while screen-recording the profit-showcase channel filled with followers' PnL cards from his calls (BTC, SUI, FIL, HYPE) - these are members' trades, not new positions of his.",,,"Thank you for your trust guys, lovely to see this",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507862949518381066
246,2026-05-24 02:33:55,partial_close,BTCUSDT,long,75197.2,,,,25,150,,,77000.0,,Reveals he had already scaled 25% out of the BTC long around 77k.,,,took 25% earlier at 77k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507889347804790936
246,2026-05-24 02:33:55,close,BTCUSDT,long,75197.2,,,,100,150,,281.65,76609.2,,"Fully out of the main-account BTC long at 76,609.2 after the earlier 25% partial at 77k.",,,"Out of BTC completely here, took 25% earlier at 77k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507889347804790936
247,2026-05-24 02:34:56,close,BTCUSDT,long,,,,,100,200,,,76609.2,,"The 89 USDT challenge account's BTC scalp closed at 76,609.2 for +12.98 USDT, about +15% of the account; still aiming to double it.",,,"Made 13$ on the 90$ account, 15% Let's see if we can double it!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507889602613088368
248,2026-05-24 02:35:41,view,BTCUSDT,,,,,,,,,,,,"Still thinks BTC goes higher, to 78-80k, even after closing his long.",,,"Btw I still think this goes higher, 78-80k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507889791742644235
248,2026-05-24 02:35:41,plan,BTCUSDT,long,75700.0,,,,,,,,,,Wants to re-enter the BTC long if price pulls back to 75.7k.,,,I'm interested to enter long again if we can get 75.7k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507889791742644235
249,2026-05-24 07:56:03,entry,BTCUSDT,long,76754.6,,,74000.0,,200,,3.2,76767.0,,"New BTC long opened at 76,754.6 with stop 74,000 (positions screenshot from the mini account, 200x cross).",,,Long BTC,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507970412271763466
250,2026-05-24 07:57:06,call,BTCUSDT,long,76750.0,75500.0,,74000.0,,,,,,,"Written-out call of the new BTC long: entry 76,750, DCA at 75.5k, stop 74k (targets given a few messages later).",,,Long BTC Entry: 76750 DCA: 75.5k SL: 74k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507970680480727050
251,2026-05-24 07:59:30,update,BTCUSDT,long,,,,,,,,,,,He is taking this BTC long on both his main account and the 89 USDT mini challenge account.,,,I took trade on my main and this mini account,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507971281067180193
252,2026-05-24 07:59:50,tp_set,BTCUSDT,long,,,78000.0,,,,,,,,Target for the new BTC long is 78k+.,,,Targeting 78+,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507971367423967314
253,2026-05-24 08:03:37,view,BTCUSDT,,,,,,,,,,78300.0,,A 4h close above 78.3k would open the path to the 80s.,4h close,,4h above 78.3k and we're good to go to 80s,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507972319908331601
254,2026-05-24 08:21:15,view,BTCUSDT,,,,,,,,,,,,If BTC pumps he expects 78.8-79.5k next.,,,If BTC pumps we go 78.8-79.5k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1507976755896647750
255,2026-05-24 13:54:49,view,BTCUSDT,,,,,,,,,,,,"Reminds the channel he was bullish days before this pump; now expects the 80s, most likely 82-84k.",,,"Don't forget who was bullish before this pump, days ago. Expecting 80s (Most like 82-84)",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508060699975356466
256,2026-05-24 15:57:21,dca,BTCUSDT,long,,75500.0,,,25,,,,,"Basically put half margin of what it is rn at 75.5k, and save 25% for another DCA later",Instructs a 25% DCA on the BTC long at 75.5k (half the current margin) and to keep another 25% back for a further DCA.,,,Guys do DCA 25% at 75.5k And save 25% for another DCA Basically put half margin of what it is rn at 75.5k And save 25% for later,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508091538117234739
257,2026-05-24 15:58:06,update,BTCUSDT,long,76754.6,,,,,150,,59.7,77060.0,,"The BTC long is already in profit, so followers have room to adjust their sizing/DCA plan.",,,In profits rn so you can adjust,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508091726563115028
258,2026-05-25 12:08:18,update,BTCUSDT,long,76754.6,,,,,150,,129.35,77416.5,,Was away with personal problems; still holding the BTC long and expecting higher - wants a 4h close above the 200 EMA to speed the move up.,"EMA 200, 4h close",,"Hello guys, had a really shitty day yesterday ran into some personal problems so was away. Still holding onto this, expecting higher. Just need a closing 4h above ema 200 and we can speed up.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508396282388156586
259,2026-05-25 12:08:46,plan,WLDUSDT,long,,,,0.28,,,,,,,"WLD looks really bullish - anyone who wants can long from CMP with SL 0.28, but he is waiting for a better entry and will signal if he takes it.",,,"WLD looks really bullish, if anyone wants to try long from CMP with SL 0.28 I'll wait for a better entry if I get in will give a signal here",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508396400071938109
260,2026-05-25 13:51:28,entry,WLDUSDT,long,0.302,,,0.28,,,,,,half risk trade,Entered WLD long from 0.302 on half risk with the 0.28 stop he flagged earlier.,,,"Okay I'm in WLD from 0.302, but half risk trade 0.28 SL",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508422245645815988
261,2026-05-25 14:00:20,update,WLDUSDT,long,,,,,,,,,,"Half risk only because I'm saving 50% for DCA, if you want you can go normal risk too",The half-risk sizing is only because he is holding 50% back for a DCA; he expects WLD to reach at least 0.32+.,,,"Half risk only because I'm saving 50% for DCA, if you want you can go normal risk too, WLD looks like it'll at least go 0.32+",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508424475241218068
262,2026-05-25 20:49:52,partial_close,WLDUSDT,long,0.3023,,,,30,75,,233.55,0.3117,Tbh entry isn't the best so if you want to take more like 50% go for it,Took 30% off WLD; because his entry wasn't the best he tells followers they can take a bigger partial.,,,"Took 30% here, let it run to 0.32-0.33 Tbh entry isn't the best so if you want to take more like 50% go for it.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508527537641492510
262,2026-05-25 20:49:52,tp_set,WLDUSDT,long,,,"0.32, 0.33",,,,,,,,Sets the target zone for the remaining WLD position at 0.32-0.33.,,,let it run to 0.32-0.33,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508527537641492510
263,2026-05-25 20:57:01,plan,WLDUSDT,long,,,"0.32, 0.33",,50,,,,,,50% of the WLD position is left and he intends to exit that remainder whole around 0.32-0.33.,,,50% remaining will exit it whole around 0.32-0.33,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508529339560366141
264,2026-05-25 20:58:36,tp_hit,WLDUSDT,long,,,0.32,,,,,,,,TP2 at 0.32 traded on most exchanges; Blofin's price missed it.,,,"TP2 0.32 was hit on majority exchanges, BLOFIN missed",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508529738862297260
265,2026-05-25 21:35:21,close,WLDUSDT,long,0.3023,,"0.33, 0.34",,100,75,1.0,416.8,0.3191,you can take 50-70% here and leave runners for 0.33-0.34,"Fully out at 0.32 for almost 1R because he likes to scalp, even though he is sure WLD blows up soon; the 0.33-0.34 targets are runner guidance for followers.",,,"Alright guys I'm fully out at 0.32 almost 1R, you can take 50-70% here and leave runners for 0.33-0.34 I'm pretty sure this blows up soon but I like to scalp",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508538985826353285
266,2026-05-25 22:14:51,update,WLDUSDT,long,,,,,,,1.5,,0.3321,,WLD blew up to 0.33 as he predicted - almost 1.5R for anyone who left runners; the 15m chart shows his sell markers.,,,"As I said show blows up and goes to 0.33 easily, almost 1.5R",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508548926666440937
267,2026-05-25 22:17:16,chat,,,,,,,,,,,,,Joke correcting his typo in the WLD exit message.,,,"Runners not rubbers, no one like rubbers",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508549535931043921
268,2026-05-26 08:42:49,call,TAOUSDT,long,287.0,,"300.0, 315.0",268.0,,,,,,,Long TAO at CMP 287 targeting 300-315 with stop 268.,,,Long TAO Entry: 287 CMP TPs: 300-315 SL: 268,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508706959384117248
269,2026-05-26 08:43:59,dca,TAOUSDT,long,,,,,50,,,,,Enter 50% here I'll add 50% around 270-275,"Enter only half size at the call price; he will add the other 50% around 270-275 and will announce the DCA (a zone, not a single level, so dca_price is left null).",,,Enter 50% here I'll add 50% around 270-275 will tell when DCA,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508707252188483644
270,2026-05-26 10:46:30,call,RENDERUSDT,long,2.33,,,2.13,50,,,,,Don't go too heavy already too pumped,"Long RENDER at CMP with half size now and half kept for a later DCA (level not given); he normally only longs supports and RENDER is already pumped, but AI coins are running hard.",support,AI coins are pumping hard,"Long RENDER Entry: 2.33 CMP (50%) DCA: later (50%) SL: 2.13 Don't go too heavy already too pumped and I usually long supports only, but AI coins are pumping hard.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1508738085016567928
